,replicable_funds,un_replicable_funds
2016-03-31 00:00:00.005,"[001058.OF, 001065.OF, 001066.OF, 000065.OF, 000048.OF, 000150.OF, 000125.OF, 000149.OF, 000060.OF, 000254.OF, 000166.OF, 000225.OF, 000268.OF, 000295.OF, 000296.OF, 000316.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000247.OF, 000074.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000212.OF, 000214.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000352.OF, 000372.OF, 000400.OF, 000310.OF]","[000089.OF, 000397.OF, 000389.OF, 003003.OF, 000353.OF, 000509.OF, 000211.OF, 000379.OF, 000198.OF, 000588.OF, 000575.OF, 000330.OF, 000210.OF, 000038.OF, 000506.OF, 000037.OF, 000464.OF, 000371.OF, 000505.OF, 000090.OF, 001057.OF, 000343.OF, 000359.OF, 000484.OF, 000483.OF, 000476.OF, 000543.OF, 000475.OF, 000542.OF, 000539.OF, 000599.OF, 000600.OF, 000607.OF, 000640.OF, 000641.OF, 000439.OF, 000638.OF]"
2016-04-29 00:00:00.005,"[001003.OF, 001001.OF, 001058.OF, 001065.OF, 001066.OF, 000065.OF, 000048.OF, 000107.OF, 000109.OF, 000150.OF, 000125.OF, 000149.OF, 000060.OF, 000254.OF, 000166.OF, 000225.OF, 000277.OF, 000295.OF, 000296.OF, 000316.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000247.OF, 000074.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000214.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000352.OF, 000372.OF, 000400.OF, 000310.OF]","[000090.OF, 000089.OF, 000389.OF, 000397.OF, 000575.OF, 000330.OF, 000509.OF, 000379.OF, 000198.OF, 000211.OF, 003003.OF, 000353.OF, 000588.OF, 000038.OF, 000210.OF, 000506.OF, 000371.OF, 000037.OF, 000505.OF, 000464.OF, 001057.OF, 000343.OF, 000359.OF, 000599.OF, 000600.OF, 000640.OF, 000641.OF, 000607.OF, 000484.OF, 000476.OF, 000483.OF, 000475.OF, 000543.OF, 000539.OF, 000686.OF, 000705.OF, 000542.OF, 000704.OF, 000576.OF, 000439.OF]"
2016-05-31 00:00:00.005,"[001003.OF, 001001.OF, 001058.OF, 001065.OF, 001066.OF, 000065.OF, 000048.OF, 000107.OF, 000109.OF, 000150.OF, 000125.OF, 000149.OF, 000060.OF, 000196.OF, 000254.OF, 000166.OF, 000225.OF, 000277.OF, 000295.OF, 000296.OF, 000316.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000074.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000214.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000352.OF, 000372.OF, 000400.OF, 000310.OF, 000435.OF, 000578.OF]","[000389.OF, 000090.OF, 000089.OF, 000397.OF, 000330.OF, 000575.OF, 000198.OF, 000379.OF, 000509.OF, 000588.OF, 000607.OF, 000211.OF, 000640.OF, 000599.OF, 000600.OF, 000641.OF, 003003.OF, 000353.OF, 000038.OF, 000506.OF, 000210.OF, 000371.OF, 000037.OF, 000505.OF, 001057.OF, 000464.OF, 000343.OF, 000705.OF, 000484.OF, 000686.OF, 000359.OF, 000618.OF, 000704.OF, 000576.OF, 000483.OF, 000476.OF, 000648.OF, 000602.OF, 000475.OF, 000647.OF, 000543.OF, 000580.OF]"
2016-06-30 00:00:00.005,"[001003.OF, 001001.OF, 001058.OF, 000058.OF, 000065.OF, 000048.OF, 000107.OF, 000109.OF, 000150.OF, 000125.OF, 000131.OF, 000149.OF, 000196.OF, 000200.OF, 000254.OF, 000166.OF, 000225.OF, 000268.OF, 000277.OF, 000295.OF, 000296.OF, 000316.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000247.OF, 000271.OF, 000074.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000212.OF, 000214.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000352.OF, 000372.OF, 000400.OF, 000310.OF, 000435.OF, 000578.OF]","[000090.OF, 000389.OF, 000089.OF, 000198.OF, 000397.OF, 000330.OF, 000575.OF, 000379.OF, 000705.OF, 000686.OF, 000509.OF, 000588.OF, 000607.OF, 000211.OF, 000600.OF, 003003.OF, 000353.OF, 000038.OF, 000640.OF, 000599.OF, 000704.OF, 000641.OF, 000506.OF, 000210.OF, 000037.OF, 000371.OF, 000648.OF, 000505.OF, 000464.OF, 001057.OF, 000647.OF, 020007.OF, 000343.OF, 000476.OF, 000359.OF, 000602.OF, 000484.OF, 000618.OF, 000576.OF, 000475.OF, 000483.OF, 000687.OF, 000650.OF, 000642.OF, 000725.OF, 000709.OF]"
2016-07-29 00:00:00.005,"[001011.OF, 001013.OF, 001003.OF, 001001.OF, 001058.OF, 000058.OF, 000065.OF, 000048.OF, 000107.OF, 000109.OF, 000150.OF, 000195.OF, 000125.OF, 000149.OF, 000060.OF, 000196.OF, 000200.OF, 000254.OF, 000166.OF, 000225.OF, 000277.OF, 000295.OF, 000296.OF, 000316.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000247.OF, 000074.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000214.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000352.OF, 000372.OF, 000400.OF, 000310.OF, 000473.OF, 000435.OF, 000386.OF, 000474.OF, 000639.OF]","[000090.OF, 000389.OF, 000089.OF, 000476.OF, 000330.OF, 000475.OF, 000198.OF, 000705.OF, 000397.OF, 000379.OF, 000575.OF, 000640.OF, 003003.OF, 000353.OF, 000509.OF, 000038.OF, 000588.OF, 000607.OF, 000211.OF, 000641.OF, 000686.OF, 000704.OF, 000600.OF, 000371.OF, 000599.OF, 000543.OF, 000506.OF, 000210.OF, 000037.OF, 000648.OF, 000542.OF, 000505.OF, 000464.OF, 000647.OF, 001057.OF, 000725.OF, 020007.OF, 000726.OF, 000748.OF, 000709.OF, 000724.OF, 000343.OF, 000576.OF, 000602.OF, 000359.OF, 000665.OF, 000759.OF, 000722.OF, 000484.OF]"
2016-08-31 00:00:00.005,"[000935.OF, 000551.OF, 020012.OF, 020002.OF, 001011.OF, 001013.OF, 001003.OF, 001001.OF, 001058.OF, 000058.OF, 000065.OF, 000066.OF, 000048.OF, 000107.OF, 000109.OF, 000150.OF, 000125.OF, 000131.OF, 000149.OF, 000060.OF, 000196.OF, 000254.OF, 000166.OF, 000225.OF, 000277.OF, 000295.OF, 000296.OF, 000314.OF, 000316.OF, 000206.OF, 000293.OF, 000227.OF, 000074.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000214.OF, 000237.OF, 000238.OF, 000318.OF, 000351.OF, 000372.OF, 000400.OF, 000310.OF, 000473.OF, 000435.OF, 000181.OF, 000306.OF, 000474.OF, 000639.OF]","[000725.OF, 000439.OF, 000726.OF, 000748.OF, 000476.OF, 000389.OF, 000724.OF, 000475.OF, 000330.OF, 000198.OF, 000705.OF, 000038.OF, 000379.OF, 003003.OF, 000353.OF, 000397.OF, 000588.OF, 000607.OF, 000543.OF, 000640.OF, 000509.OF, 000722.OF, 000211.OF, 000704.OF, 000575.OF, 000686.OF, 000641.OF, 000759.OF, 000600.OF, 000542.OF, 000037.OF, 000371.OF, 000506.OF, 000599.OF, 000721.OF, 000210.OF, 000648.OF, 000505.OF, 000790.OF, 000580.OF, 001057.OF, 000464.OF, 000789.OF, 000693.OF, 000647.OF, 020007.OF, 000539.OF, 000359.OF, 000576.OF, 000602.OF, 000709.OF]"
2016-09-30 00:00:00.005,"[000058.OF, 000065.OF, 000066.OF, 000048.OF, 000130.OF, 000107.OF, 000109.OF, 000150.OF, 000195.OF, 000125.OF, 000131.OF, 000149.OF, 000060.OF, 000196.OF, 000200.OF, 000254.OF, 000028.OF, 000126.OF, 000166.OF, 000225.OF, 000277.OF, 000295.OF, 000296.OF, 000314.OF, 000316.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000247.OF, 000074.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000214.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000352.OF, 000372.OF, 000400.OF, 000310.OF, 000473.OF, 000435.OF, 000047.OF, 000181.OF, 000578.OF, 000306.OF, 000474.OF, 000511.OF, 000579.OF]","[000439.OF, 000790.OF, 000725.OF, 000726.OF, 000748.OF, 000476.OF, 000789.OF, 000724.OF, 000693.OF, 000475.OF, 000389.OF, 000330.OF, 000575.OF, 000758.OF, 000705.OF, 000198.OF, 000607.OF, 000588.OF, 000038.OF, 000722.OF, 003003.OF, 000353.OF, 000640.OF, 000379.OF, 000759.OF, 000648.OF, 000211.OF, 000509.OF, 000543.OF, 000704.OF, 000641.OF, 000397.OF, 000686.OF, 000721.OF, 000600.OF, 000037.OF, 000647.OF, 000797.OF, 000210.OF, 000542.OF, 000506.OF, 000650.OF, 000642.OF, 000371.OF, 000599.OF, 000580.OF, 001057.OF, 000505.OF, 000773.OF, 000464.OF, 000359.OF, 000576.OF, 000602.OF, 000539.OF]"
2016-10-31 00:00:00.005,"[000066.OF, 000048.OF, 000130.OF, 001063.OF, 000107.OF, 000109.OF, 000150.OF, 000195.OF, 000125.OF, 000131.OF, 000149.OF, 000060.OF, 000196.OF, 000200.OF, 000254.OF, 000028.OF, 000126.OF, 000166.OF, 000225.OF, 000268.OF, 000277.OF, 000295.OF, 000296.OF, 000314.OF, 000316.OF, 000030.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000247.OF, 000074.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000214.OF, 000237.OF, 000238.OF, 000318.OF, 000351.OF, 000352.OF, 000372.OF, 000400.OF, 000290.OF, 000310.OF, 000385.OF, 000435.OF, 000047.OF, 000578.OF, 000306.OF, 000639.OF, 000511.OF, 000579.OF, 000122.OF, 000530.OF]","[000439.OF, 000748.OF, 000790.OF, 000725.OF, 000476.OF, 000726.OF, 000789.OF, 000724.OF, 000013.OF, 000475.OF, 000010.OF, 000359.OF, 000693.OF, 000009.OF, 000389.OF, 000648.OF, 000543.OF, 000330.OF, 000722.OF, 000575.OF, 000758.OF, 000705.OF, 000038.OF, 000198.OF, 000588.OF, 000607.OF, 000332.OF, 000759.OF, 003003.OF, 000353.OF, 000647.OF, 000542.OF, 000509.OF, 000721.OF, 000640.OF, 000379.OF, 000211.OF, 000704.OF, 000331.OF, 000686.OF, 000797.OF, 000037.OF, 000641.OF, 000397.OF, 000600.OF, 000848.OF, 000506.OF, 000210.OF, 000371.OF, 000773.OF, 000580.OF, 000599.OF, 000650.OF, 000642.OF, 000602.OF, 001057.OF]"
2016-11-30 00:00:00.005,"[000254.OF, 000272.OF, 000028.OF, 000126.OF, 000166.OF, 000225.OF, 000268.OF, 000277.OF, 000295.OF, 000296.OF, 000314.OF, 000316.OF, 001031.OF, 000030.OF, 000045.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000247.OF, 000271.OF, 000412.OF, 000413.OF, 000074.OF, 000104.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000212.OF, 000214.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000352.OF, 000372.OF, 000400.OF, 000290.OF, 000310.OF, 000385.OF, 000435.OF, 000695.OF, 000552.OF, 000553.OF, 000047.OF, 000578.OF, 000692.OF, 000306.OF, 000639.OF, 000649.OF, 000511.OF, 000579.OF, 000714.OF, 000122.OF, 000252.OF, 000526.OF, 000530.OF, 000813.OF]","[000748.OF, 000439.OF, 000476.OF, 000790.OF, 000725.OF, 000013.OF, 000010.OF, 000475.OF, 000789.OF, 000726.OF, 000009.OF, 000724.OF, 000359.OF, 000693.OF, 000648.OF, 000722.OF, 000705.OF, 000330.OF, 000389.OF, 000575.OF, 000543.OF, 000332.OF, 000198.OF, 000038.OF, 000758.OF, 000647.OF, 000588.OF, 000607.OF, 000759.OF, 000640.OF, 000721.OF, 000704.OF, 003003.OF, 000353.OF, 000509.OF, 000542.OF, 000379.OF, 000331.OF, 000686.OF, 000641.OF, 000797.OF, 000211.OF, 000037.OF, 000397.OF, 000600.OF, 000371.OF, 000773.OF, 000848.OF, 000580.OF, 000210.OF, 000506.OF, 000602.OF, 000650.OF, 000642.OF, 000599.OF, 001057.OF, 000863.OF, 000837.OF, 000836.OF, 000464.OF]"
2016-12-30 00:00:00.005,"[000060.OF, 000196.OF, 000200.OF, 000213.OF, 000254.OF, 000272.OF, 000028.OF, 000126.OF, 000166.OF, 000225.OF, 000268.OF, 000277.OF, 000295.OF, 000296.OF, 000314.OF, 000316.OF, 000030.OF, 000045.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000247.OF, 000271.OF, 000412.OF, 000413.OF, 000074.OF, 000104.OF, 000111.OF, 000112.OF, 000137.OF, 000201.OF, 000212.OF, 000214.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000352.OF, 000372.OF, 000400.OF, 000290.OF, 000310.OF, 000385.OF, 000435.OF, 000695.OF, 000552.OF, 000553.OF, 000047.OF, 000578.OF, 000692.OF, 001061.OF, 000273.OF, 000306.OF, 000639.OF, 000649.OF, 000511.OF, 000579.OF, 000714.OF, 000122.OF, 000252.OF, 000526.OF, 000753.OF, 000813.OF]","[000476.OF, 000439.OF, 000748.OF, 000790.OF, 000013.OF, 000475.OF, 000010.OF, 000725.OF, 000789.OF, 000726.OF, 000359.OF, 000009.OF, 000724.OF, 000353.OF, 003003.OF, 000332.OF, 000509.OF, 000648.OF, 000693.OF, 000722.OF, 000543.OF, 000705.OF, 000331.OF, 000330.OF, 000647.OF, 000198.OF, 000920.OF, 000651.OF, 000389.OF, 000343.OF, 000721.OF, 000856.OF, 000038.OF, 000797.OF, 000758.OF, 000759.OF, 000575.OF, 000542.OF, 000704.OF, 000588.OF, 000607.OF, 000857.OF, 000379.OF, 000640.OF, 000397.OF, 000773.OF, 000644.OF, 000686.OF, 000211.OF, 000980.OF, 000037.OF, 000641.OF, 000371.OF, 000862.OF, 000602.OF, 000855.OF, 000600.OF, 000580.OF, 000366.OF, 000848.OF, 000650.OF, 000642.OF, 000210.OF, 000837.OF, 000836.OF]"
