,return,volatility,sharpe,skewness,kurtosis
2011-08-31 00:00:00.005,0.333343772329,1.2686747951,0.266663109225,-0.0979053435389,0.182955587091
2011-09-30 00:00:00.005,0.483187115479,1.20708051188,0.4003889566,0.323210958963,1.26858834143
2011-10-31 00:00:00.005,0.437899236097,1.20561799405,0.364056996983,0.477994493126,1.46936313301
2011-11-30 00:00:00.005,0.397570226308,1.16801981878,0.341404516059,0.40309812268,1.24151430727
2011-12-30 00:00:00.005,0.0812564463034,1.15752653306,0.077652896521,-0.450851987573,0.344990099043
2012-01-31 00:00:00.005,0.151539596607,1.1951436773,0.133750553372,-0.550740894203,0.289738866632
2012-02-29 00:00:00.005,0.122972711943,1.22132908623,0.101682909413,-0.528311317935,0.365573964681
2012-03-30 00:00:00.005,0.0579881479072,1.2808694142,0.0446224440247,-0.438183560968,0.0898896527122
2012-04-27 00:00:00.005,0.0941850233172,1.27124530551,0.073138249392,-0.477899774801,0.123518007585
2012-05-31 00:00:00.005,0.180416100864,1.22352970646,0.153180757552,-0.445796339614,0.140897032167
2012-06-29 00:00:00.005,0.237987541758,1.16339006559,0.21126558794,-0.547658654104,0.433500048986
2012-07-31 00:00:00.005,0.298685104918,1.15155256141,0.267503457874,-0.618637153333,0.4816212088
2012-08-31 00:00:00.005,0.311260060802,1.10954769701,0.290248300287,-0.490178664282,0.369913803156
2012-09-28 00:00:00.005,0.332281894609,1.07452259994,0.314186094659,-0.433245258428,-0.0823418528505
2012-10-31 00:00:00.005,0.332240258375,1.05792411927,0.318583797592,-0.490271877537,0.276221509837
2012-11-30 00:00:00.005,0.337386746791,1.05350940513,0.329372158493,-0.551061360782,0.309074135043
2012-12-31 00:00:00.005,0.486547959447,0.878822211306,0.555052468515,-0.457097069594,0.286288869005
2013-01-31 00:00:00.005,0.464258277075,0.848387008042,0.54832944199,-0.615977295797,0.474171899862
2013-02-28 00:00:00.005,0.392115624495,0.875571734486,0.448781921419,-0.492081447358,0.0511181993094
2013-03-29 00:00:00.005,0.437155569452,0.940459007832,0.464928585453,-0.224387451351,0.233703916229
2013-04-26 00:00:00.005,0.458912710194,0.967315712067,0.475095445515,-0.260802391105,0.314889697799
2013-05-31 00:00:00.005,0.389416234753,1.01175791373,0.384556934166,-0.120862640709,0.254662208398
2013-06-28 00:00:00.005,0.310235506063,1.03434586275,0.298603062555,-0.00427397064429,0.228745554161
2013-07-31 00:00:00.005,0.309026823213,1.04674348108,0.294333047227,0.0660002970105,0.257925096341
2013-08-30 00:00:00.005,0.346243706649,1.02634084841,0.336478353239,0.0498690379804,0.306395414559
2013-09-30 00:00:00.005,0.329670248865,1.10061051232,0.301615990509,0.0503884214414,0.19320730973
2013-10-31 00:00:00.005,0.354295212109,1.0890273099,0.327133431114,-0.0234804781725,0.172063022435
2013-11-29 00:00:00.005,0.294623344406,1.12610628818,0.264259378625,-0.0665686516364,0.157748349063
2013-12-31 00:00:00.005,0.400686239962,0.986007574022,0.408126095068,0.305967395097,-0.220467213055
2014-01-30 00:00:00.005,0.386365101327,0.978416559384,0.395802054883,0.318348814487,-0.0820587520612
2014-02-28 00:00:00.005,0.357044858296,1.02196354994,0.349980713936,0.346054852582,-0.22322775633
2014-03-31 00:00:00.005,0.426127108897,0.978166713339,0.436535219024,0.237402439205,-0.212330983254
2014-04-30 00:00:00.005,0.405777502601,0.960828035445,0.42331634325,0.254938077418,-0.151252343869
2014-05-30 00:00:00.005,0.427495765084,0.950928270998,0.450214802059,0.18282514611,-0.217331635543
2014-06-30 00:00:00.005,0.444053541465,0.983918811692,0.453914798873,0.181405254836,-0.240988445527
2014-07-31 00:00:00.005,0.421474101518,0.961977907229,0.440126102683,0.205474667818,-0.0538123314847
2014-08-29 00:00:00.005,0.448194235718,0.921310393576,0.486595162602,0.102749024419,-0.199383147665
