,1
0,1.00269676707
1,1.03956994984
2,1.02670958443
3,1.02932826141
4,1.0461620558
5,1.06363164557
6,1.09160240749
7,1.10661264698
8,1.09140622306
9,1.10913779525
10,1.14167835825
11,1.17187605272
12,1.21152942075
13,1.22112803849
14,1.20269427041
15,1.2539871396
16,1.24797564148
17,1.23248982333
18,1.18857966809
19,1.18087325737
20,1.16762892988
21,1.2006824205
22,1.17601990928
23,1.19222642089
24,1.17428862402
25,1.24841964473
26,1.24459150878
27,1.26459859422
28,1.26433260537
29,1.26588016174
30,1.2824922891
31,1.29635858656
32,1.30419467809
33,1.28830376282
34,1.29667792582
35,1.28495489694
36,1.3166015962
37,1.34913398777
38,1.34935424996
39,1.37212564531
40,1.36548549249
