,1
0,1.0026369148
1,1.03757768297
2,1.02731275885
3,1.031741487
4,1.04643471108
5,1.06321167821
6,1.08851755392
7,1.10187252927
8,1.09249623039
9,1.11019841777
10,1.14019365501
11,1.16473246068
12,1.20125804736
13,1.21154019204
14,1.19787244594
15,1.24823633412
16,1.24326287102
17,1.2277386318
18,1.18860387191
19,1.18160908524
20,1.1708039307
21,1.20193118731
22,1.17720030496
23,1.18767246802
24,1.17335956978
25,1.22230423835
26,1.21946473504
27,1.23637522708
28,1.23509054167
29,1.23672130452
30,1.25272894739
31,1.2652107651
32,1.27274963086
33,1.26074514294
34,1.26757067096
35,1.25473372051
36,1.27336942049
37,1.2933652825
38,1.29572276808
39,1.30768071526
40,1.30688125472
