,1
0,1.00101340923
1,1.00204815719
2,1.00356836145
3,1.00490501639
4,1.00634366327
5,1.00768647228
6,1.00928890686
7,1.01097026356
8,1.01265017355
9,1.01449690812
10,1.01618830142
11,1.01820502527
12,1.0207953725
13,1.02355833119
14,1.02619063322
15,1.02859552939
16,1.03140984654
17,1.03430988169
18,1.03737194916
19,1.04060174542
20,1.04343514116
21,1.04696171943
22,1.05074210696
23,1.05439608069
24,1.05862235266
25,1.06270584395
26,1.06664320884
27,1.07007292919
28,1.07411717614
29,1.07772910236
30,1.08093764377
31,1.08378358193
32,1.08644062279
33,1.08976065791
34,1.09281041346
35,1.09628679298
36,1.09970068899
37,1.10265260496
38,1.10580200858
39,1.10858953235
40,1.11214340588
41,1.11513185345
42,1.11912591466
43,1.12267752757
44,1.12651819226
45,1.13067772195
46,1.13447637961
47,1.13943117512
48,1.14456680257
49,1.15150363097
50,1.15464397263
51,1.16103716953
52,1.16925971873
53,1.17388841227
54,1.17803925575
55,1.18412852138
56,1.19006812243
57,1.19750188835
58,1.20596839446
59,1.20893197846
60,1.21333498444
61,1.21743470883
62,1.22234153779
63,1.22658800846
64,1.23056850148
65,1.23433804672
66,1.2376031516
67,1.24047387583
68,1.24337655472
69,1.24640470761
70,1.24926646339
71,1.25662266756
72,1.25954112373
73,1.2633439151
74,1.27031598599
75,1.26446765753
76,1.2672126724
77,1.27435611421
78,1.28386053764
79,1.29076865544
80,1.29637526804
81,1.30196198694
82,1.29544814421
83,1.28262473647
84,1.28555995144
85,1.28925684905
86,1.29317288496
87,1.29661843505
88,1.30017046537
89,1.30413216446
90,1.30808368492
