,1
0,1.00263257023
1,1.04050826291
2,1.02487869784
3,1.02736264127
4,1.0448219133
5,1.0626121172
6,1.09146646498
7,1.10819087598
8,1.09458896901
9,1.11241333335
10,1.14859472389
11,1.18775961194
12,1.22904448393
13,1.23843019828
14,1.21933134783
15,1.27237694657
16,1.26560155801
17,1.24964778816
18,1.2026774018
19,1.19440329296
20,1.17864504447
21,1.2136678503
22,1.18866999854
23,1.20488174066
24,1.18204278086
25,1.25835990423
26,1.25399497961
27,1.27593164634
28,1.27592235615
29,1.27743877082
30,1.29432505132
31,1.3095569106
32,1.31758983958
33,1.29451203212
34,1.30375807134
35,1.29373880331
36,1.34235987906
37,1.38849066476
38,1.38801416319
39,1.41169194213
40,1.40246481767
