,1
0,0.989445804287
1,1.00096884721
2,1.02914800634
3,1.04625244972
4,1.01569791018
5,1.02744718861
6,1.00744335196
7,1.01555114538
8,1.04599023029
9,1.06556407769
10,1.07253056949
11,1.10116102581
12,1.09384277184
13,1.10971833772
14,1.11760794023
15,1.14870801852
16,1.14833179603
17,1.12996319455
18,1.15061088405
19,1.23201233297
20,1.14820919363
21,1.17393313962
22,1.15024602004
23,1.09043250484
24,1.15913187365
25,1.20277855912
26,1.15480099556
27,1.15806936616
28,1.16231557224
29,1.17449673956
30,1.18152334893
31,1.18477768259
32,1.24692684737
33,1.21865365807
34,1.22502760179
35,1.22345415003
36,1.23433423635
37,1.23199581085
38,1.23472918629
39,1.23710773229
40,1.23776533623
41,1.20767045603
42,1.26680403926
43,1.26383657566
44,1.26652522088
45,1.26591541274
46,1.26695029338
47,1.25371305053
48,1.25811392212
49,1.31960203621
50,1.30022535805
51,1.30239271662
52,1.32939609124
53,1.35835526779
54,1.36572321175
55,1.38965013222
56,1.38482306266
57,1.40766257778
58,1.45912235999
59,1.51674126627
60,1.59617490838
61,1.60269279365
62,1.57572719828
63,1.64716341665
64,1.63206147689
65,1.60523514525
66,1.49080597609
67,1.47392620777
68,1.44942940761
69,1.50105241422
70,1.50434402099
71,1.52317931666
72,1.50039174502
73,1.59595982361
74,1.58022819515
75,1.62959114928
76,1.63319642502
77,1.63693101404
78,1.662110095
79,1.68122906853
80,1.69190849745
81,1.66230839772
82,1.68546612701
83,1.67247666697
84,1.74690187865
85,1.81687967613
86,1.81604733259
87,1.84740633642
88,1.81164555779
89,1.81877820832
90,1.86922071256
