,1
0,0.996391404401
1,1.01388143487
2,1.01166115561
3,1.01975653539
4,1.03510597254
5,1.04275249102
6,1.05364124061
7,1.05987231496
8,1.06143554254
9,1.08293464426
10,1.11112233703
11,1.15699290198
12,1.16627484787
13,1.18475765079
14,1.21763312567
15,1.30427695795
16,1.30073543408
17,1.22201714154
18,1.09285787768
19,1.03795082975
20,1.03131792363
21,1.06372970175
22,1.0532926441
23,1.06868559625
24,1.025652752
25,1.02207133778
26,1.05079363061
27,1.04589340341
28,1.04810315146
29,1.05379475516
30,1.07064595888
31,1.09222703306
32,1.09120274367
33,1.09072783738
34,1.08259966227
35,1.06092625915
36,1.07913302764
37,1.09236625559
38,1.10840018356
39,1.11773818042
40,1.12422494049
41,1.13139244877
42,1.16147619067
