,1
0,1.00278869997
1,1.03857507453
2,1.02761236828
3,1.03041818249
4,1.04564356192
5,1.06271420876
6,1.08932090209
7,1.10330707112
8,1.08776272006
9,1.10543033691
10,1.13612550456
11,1.16241420156
12,1.20050408079
13,1.21042029687
14,1.19465745526
15,1.24500833154
16,1.2396441434
17,1.22431264341
18,1.18329914143
19,1.17606867904
20,1.16444168698
21,1.19600033071
22,1.17149940481
23,1.18777315158
24,1.1724026892
25,1.22532249818
26,1.22208536698
27,1.24013394615
28,1.2394264449
29,1.24096248754
30,1.25712024393
31,1.26996694024
32,1.2775727559
33,1.2644437642
34,1.27185476076
35,1.25941847384
36,1.28224845231
37,1.30642743887
38,1.30821481022
39,1.32376568495
40,1.32029220541
