,1
0,1.00477345645
1,1.0140856092
2,1.02089365365
3,1.02848423194
4,1.03771813131
5,1.04217857422
6,1.04890836529
7,1.05391658189
8,1.05485562251
9,1.05677932567
10,1.04688246755
11,1.04942085528
12,1.05196673912
13,1.05450362744
14,1.05783900377
15,1.0620764361
16,1.06513149414
17,1.0681263451
18,1.07021546806
19,1.07131549949
20,1.07812167645
21,1.09538018108
22,1.11024895966
23,1.12626416087
24,1.13462335799
25,1.12931832763
26,1.13370702722
27,1.1348098535
28,1.15597103911
29,1.16111944553
30,1.16642124652
31,1.1600763624
32,1.1591713344
33,1.16091599588
34,1.16325163015
35,1.1658803288
36,1.17179005673
37,1.17786448199
38,1.18244855783
39,1.19193237941
40,1.19862845638
41,1.19407102275
42,1.18830338664
43,1.17859916128
44,1.18163284116
45,1.17379743005
46,1.15755048652
47,1.16260605758
48,1.16784613852
49,1.18001046273
50,1.18107019734
51,1.19175612309
52,1.20630090009
53,1.21578777962
54,1.21316662752
55,1.22301104668
56,1.2347261068
57,1.25553668548
58,1.27745934129
59,1.27490261075
60,1.27952581806
61,1.28384919393
62,1.2890237042
63,1.29393216566
64,1.29813120227
65,1.3021077093
66,1.31794493865
67,1.32827855742
68,1.33552875125
69,1.35090043764
70,1.35076173135
71,1.37231063072
72,1.37536934361
73,1.37998411789
74,1.38954927192
75,1.37921087017
76,1.38465230207
77,1.39460407996
78,1.40823635756
79,1.41771621518
80,1.42527172229
81,1.43275229612
82,1.42126677739
83,1.39977447657
84,1.40297778217
85,1.40701233941
86,1.41128605015
87,1.41034388969
88,1.4077347535
89,1.41829516152
90,1.42255004701
